,pron,words
0,/əˈbæk/,a·back
1,/ˈæbəkəs/,ab·a·cus
2,/əˈbændən/,a·ban·don
3,/əˈbændənd/,a·ban·doned
4,/əˈbeɪs/,a·base
5,/əˈbæʃt/,a·bashed
6,/əˈbeɪt/,a·bate
7,/ˈæbi/,ab·bey
8,/əˈbriviˌeɪt/,ab·bre·vi·ate
9,/əˌbriviˈeɪʃən/,ab·bre·vi·a·tion
10,/ˈæbdɪˌkeɪt/,ab·di·cate
11,/ˌæbdɪˈkeɪʃən/,abdication
12,/ˈæbdəmən/,ab·do·men
13,"/æbˈdamənəl, əb-/",abdominal
14,"/əbˈdʌkt, æb-/",ab·duct
15,/-ˈdʌkʃən/,abduction
16,/ˌæbəˈreɪʃən/,a·ber·ra·tion
17,/əˈbɛt/,a·bet
18,"/əbˈhɔr, æb-/",ab·hor
19,/əˈbaɪd/,a·bide
20,/əˈbaɪdɪŋ/,a·bid·ing
21,/əˈbɪləti/,a·bil·i·ty
22,"/ˈæbdʒɛkt, æbˈdʒɛkt/",ab·ject
23,/æbˈdʒʊr/,ab·jure
24,/ˌæbdʒʊˈreɪʃən/,abjuration
25,/ˈæblətɪv/,ab·la·tive
26,/əˈbleɪz/,a·blaze
27,/ˈeɪbəl/,a·ble
28,/ˌæbnɪˈgeɪʃən/,ab·ne·ga·tion
29,/æbˈnɔrməl/,ab·nor·mal
30,"/ˌæbnɔrˈmæləti, -nɚ-/",abnormality
31,/əˈbɔrd/,a·board
32,/əˈboʊd/,a·bode
33,/əˈbalɪʃ/,a·bol·ish
34,/ˌæbəˈlɪʃən/,ab·o·li·tion
35,/ˌæbəˈlɪʃənɪst/,ab·o·li·tion·ist
36,/əˈbamənəbəl/,a·bom·i·na·ble
37,/ˌæbəˈrɪdʒənəl/,ab·o·rig·i·nal
38,/ˌæbəˈrɪdʒəni/,Aborigine
39,/əˈbɔrt/,a·bort
40,/əˈbɔrʃən/,a·bor·tion
41,/əˈbɔrtɪv/,a·bor·tive
42,/əˈbaʊnd/,a·bound
43,/əˈbaʊt/,a·bout1
44,/əˈbʌv/,a·bove
45,/əˈbʌvˌbɔrd/,a·bove·board
46,/əˈbreɪʒən/,a·bra·sion
47,"/əˈbreɪsɪv, -zɪv/",a·bra·sive
48,/əˈbrɛst/,a·breast
49,/əˈbrɪdʒd/,a·bridged
50,/əˈbrɔd/,a·broad
51,/ˈæbrəˌgeɪt/,ab·ro·gate
52,/ˌæbrəˈgeɪʃən/,abrogation
53,/əˈbrʌpt/,a·brupt
54,/æbz/,abs
55,/ˈæbsɛs/,ab·scess
56,"/əbˈskand, æb-/",ab·scond
57,/ˈæbsəns/,ab·sence
58,/ˈæbsənt/,ab·sent
59,/ˌæbsənˈti/,ab·sen·tee
60,/ˌæbsənˈtiɪzəm/,ab·sen·tee·ism
61,/ˈæbsəntli/,ab·sent·ly
62,"/ˈæbsəˌlut, ˌæbsəˈlut/",ab·so·lute
63,"/ˌæbsəˈlutli, ˈæbsəˌlutli/",ab·so·lute·ly
64,/ˌæbsəˈluʃən/,ab·so·lu·tion
65,"/əbˈzalv, -ˈsalv/",ab·solve
66,"/əbˈsɔrb, -ˈzɔrb/",ab·sorb
67,"/əbˈsɔrbənt, -ˈzɔr-/",ab·sorb·ent
68,"/əbˈsɔrbɪŋ, -ˈzɔr-/",ab·sorb·ing
69,"/əbˈsɔrpʃən, -ˈzɔrp-/",ab·sorp·tion
70,/əbˈsteɪn/,ab·stain
71,/əbˈstɛnʃən/,abstention
72,/æbˈstimiəs/,ab·ste·mi·ous
73,/ˈæbstənəns/,ab·sti·nence
74,"/əbˈstrækt, æb-,ˈæbstrækt/",ab·stract1
75,/əbˈstrækʃən/,abstraction
76,/ˈæbstrækt/,ab·stract2
77,"/əbˈstrus, æb-/",ab·struse
78,"/əbˈsɚd, -ˈzɚd/",ab·surd
79,/əˈbʌndənt/,a·bun·dant
80,/əˈbʌndəntli/,a·bun·dant·ly
81,/əˈbyus/,a·buse1
82,/əˈbyuz/,a·buse2
83,/əˈbyusɪv/,a·bu·sive
84,/əˈbɪzməl/,a·bys·mal
85,/əˈbɪs/,a·byss
86,/ˌækəˈdimiə/,ac·a·de·mi·a
87,/ˌækəˈdɛmɪk/,ac·a·dem·ic1
88,/əˈkædəmi/,a·cad·e·my
89,"/ækˈsid, ɪk-/",ac·cede
90,/əkˈsɛləˌreɪt/,ac·cel·er·ate
91,/əkˌsɛləˈreɪʃən/,acceleration
92,/əkˈsɛləˌreɪtɚ/,ac·cel·er·a·tor
93,/ˈæksɛnt/,ac·cent1
94,"/ˈæksɛnt, ækˈsɛnt/",ac·cent2
95,"/əkˈsɛntʃuˌeɪt, æk-/",ac·cen·tu·ate
96,/əkˈsɛpt/,ac·cept
97,/əkˈsɛptəbəl/,ac·cept·a·ble
98,/əkˌsɛptəˈbɪləti/,acceptability
99,/əkˈsɛptəns/,ac·cept·ance
100,/ˈæksɛs/,ac·cess1
101,/əkˈsɛsəbəl/,ac·ces·si·ble
102,/əkˌsɛsəˈbɪləti/,accessibility
103,/əkˈsɛsəri/,ac·ces·so·ry
104,"/ˈæksədənt, -ˌdɛnt/",ac·ci·dent
105,/ˌæksəˈdɛntəl/,ac·ci·den·tal
106,/əˈkleɪm/,ac·claim1
107,/əˈkleɪmd/,ac·claimed
108,/ˈækləˌmeɪt/,ac·cli·mate
109,/əˈklaɪməˌtaɪz/,ac·cli·ma·tize
110,/əˌklaɪmətəˈzeɪʃən/,acclimatization
111,/ˈækəˌleɪd/,ac·co·lade
112,/əˈkaməˌdeɪt/,ac·com·mo·date
113,/əˈkaməˌdeɪtɪŋ/,ac·com·mo·dat·ing
114,/əˌkaməˈdeɪʃən/,ac·com·mo·da·tion
115,/əˈkʌmpənimənt/,ac·com·pa·ni·ment
116,/əˈkʌmpənɪst/,ac·com·pa·nist
117,/əˈkʌmpəni/,ac·com·pa·ny
118,/əˈkamplɪs/,ac·com·plice
119,/əˈkamplɪʃ/,ac·com·plish
120,/əˈkamplɪʃt/,ac·com·plished
121,/əˈkamplɪʃmənt/,ac·com·plish·ment
122,/əˈkɔrd/,ac·cord1
123,/əˈkɔrdns/,ac·cord·ance
124,/əˈkɔrdɪŋli/,ac·cord·ing·ly
125,/əˈkɔrdiən/,ac·cor·di·on
126,"/əˈkɔst, əˈkast/",ac·cost
127,/əˈkaʊnt/,ac·count1
128,/əˈkaʊntəbəl/,ac·count·a·ble
129,/əˌkaʊntəˈbɪləti/,accountability
130,"/əˈkaʊntənt, əˈkaʊntnt/",ac·count·ant
131,/əˈkaʊntɪŋ/,ac·count·ing
132,/əˈkrɛdɪtɪd/,ac·cred·it·ed
133,/əˌkrɛdəˈteɪʃən/,accreditation
134,/əˈkriʃən/,ac·cre·tion
135,/əˈkru/,ac·crue
136,/əˈkyumyəˌleɪt/,ac·cu·mu·late
137,/əˌkyumyəˈleɪʃən/,accumulation
138,/ˈækyərəsi/,ac·cu·ra·cy
139,/ˈækyərɪt/,ac·cu·rate
140,/ˌækyəˈzeɪʃən/,ac·cu·sa·tion
141,/əˈkyuzətɪv/,ac·cu·sa·tive
142,/əˈkyuz/,ac·cuse
143,/əˈkyuzd/,ac·cused
144,/əˈkʌstəmd/,ac·cus·tomed
145,/eɪs/,ace1
146,/əˈsɚbɪk/,a·cer·bic
147,"/əˈsetl-ɪn, -in/",a·cet·y·lene
148,/eɪk/,ache1
149,/əˈtʃiv/,a·chieve
150,/əˈtʃivmənt/,a·chieve·ment
151,/ˈæsɪd/,ac·id1
152,/əˈsɪdɪk/,a·cid·ic
153,/əˈsɪdəti/,acidity
154,/əkˈnalɪdʒ/,ac·knowl·edge
155,/əkˈnalɪdʒmənt/,ac·knowl·edg·ment
156,/ˈækni/,ac·ne
157,/ˈeɪkɔrn/,a·corn
158,/əˈkustɪk/,a·cous·tic
159,/əˈkustɪks/,a·cous·tics
160,/əˈkweɪnt/,ac·quaint
161,/əˈkweɪntns/,ac·quaint·ance
162,/əˈkweɪntɪd/,ac·quaint·ed
163,/ˌækwiˈɛs/,ac·qui·esce
164,/əˈkwaɪɚ/,ac·quire
165,/ˌækwəˈzɪʃən/,ac·qui·si·tion
166,/əˈkwɪt/,ac·quit
167,/əˈkwɪtl/,ac·quit·tal
168,/ˈeɪkɚ/,a·cre
169,/ˈækrɪd/,ac·rid
170,/ˌækrəˈmoʊniəs/,ac·ri·mo·ni·ous
171,/ˈækrəˌmoʊni/,ac·ri·mo·ny
172,/ˈækrəˌbæt/,ac·ro·bat
173,/ˌækrəˈbætɪk/,acrobatic
174,/ˌækrəˈbætɪks/,ac·ro·bat·ics
175,/ˈækrənɪm/,ac·ro·nym
176,/əˈkrɔs/,a·cross
177,/əˈkrɪlɪk/,a·cryl·ic
178,/ækt/,act1
179,/ˈæktɪŋ/,act·ing1
180,/ˈækʃən/,ac·tion
181,/ˈæktəˌveɪt/,ac·ti·vate
182,/ˌæktəˈveɪʃən/,activation
183,/ˈæktɪv/,ac·tive1
184,/ˈæktɪvli/,ac·tive·ly
185,/ˈæktəvɪst/,ac·tiv·ist
186,/ækˈtɪvəti/,ac·tiv·i·ty
187,/ˈæktɚ/,ac·tor
188,/ˈæktrɪs/,ac·tress
189,"/ˈæktʃuəl, ˈækʃuəl/",ac·tu·al
190,"/əˈkyumən, ˈækyəmən/",a·cu·men
191,/ˈækyəˌpʌŋktʃɚ/,ac·u·punc·ture
192,/əˈkyut/,a·cute
193,/əˈkyutli/,a·cutely
194,/æd/,ad
195,/ˈædɪdʒ/,ad·age
196,/ˈædəmənt/,ad·a·mant
197,/ˈædəmz ˌæpəl/,p·ple
198,/əˈdæpt/,a·dapt
199,/əˈdæptəbəl/,a·dapt·a·ble
200,/əˌdæptəˈbɪləti/,adaptability
201,"/ˌædəpˈteɪʃən, ˌædæp-/",ad·ap·ta·tion
202,/əˈdæptɚ/,a·dapt·er
203,/æd/,add
204,/əˈdɛndəm/,ad·den·dum
205,/-də/,addenda
206,/ˈædɪkt/,ad·dict
207,/əˈdɪktɪd/,ad·dict·ed
208,/əˈdɪkʃən/,addiction
209,/əˈdɪktɪv/,addictive
