,f
0,1355
1,1227
2,1584
3,157
4,3832
5,1961
6,959
7,539
8,4350
9,2588
10,55
11,29
12,2526
13,299
14,852
15,312
16,2219
17,2010
18,1905
19,699
20,652
21,74
22,306
23,193
24,1412
25,403
26,296
27,280
28,134
29,2833
30,106
31,284
32,16
33,156
34,800
35,231
36,365
37,640
38,176
39,15
40,2773
41,152
42,73
43,5
44,2002
45,552
46,284
47,363
48,134
49,122
50,55
51,85
52,258
53,668
54,37
55,106
56,58
57,79
58,70
59,73
60,59
61,89
62,24
63,92
64,92
65,128
66,87
67,192
68,56
69,15
70,2
71,804
72,33
73,24
74,122
75,15
76,37
77,9
78,550
79,86
80,80
81,153
82,65
83,46
84,18
85,57
86,24
87,838
88,128
89,25
90,44
91,904
92,10
93,2
94,3
95,6
96,2
97,141
98,105
99,1
100,203
101,278
102,108
103,25
104,50
105,193
106,54
107,36
108,106
109,713
110,3
111,63
112,5
113,10
114,144
115,1
116,334
117,84
118,233
119,76
120,37
121,3
122,345
123,92
124,306
125,80
126,10
127,58
128,28
129,20
130,47
131,108
132,109
133,114
134,72
135,15
136,290
137,3
138,8
139,8
140,129
141,34
142,17
143,10
144,42
145,43
146,20
147,31
148,68
149,41
150,10
151,30
152,42
153,34
154,13
155,2
156,8
157,9
158,3
159,5
160,6
161,147
162,95
163,169
164,26
165,12
166,22
167,15
168,19
169,20
170,15
171,46
172,65
173,36
174,1
175,4
176,9
177,5
178,5
179,29
180,31
181,32
182,3
183,10
184,39
185,53
186,1
187,36
188,2
189,34
190,7
191,39
192,1
193,6
194,5
195,1
196,18
197,2
198,16
199,1
200,16
201,8
202,20
203,7
204,1
205,6
206,16
207,2
208,7
209,14
210,3
211,5
212,10
213,2
214,13
215,3
216,22
217,1
218,11
219,1
220,17
221,1
222,1
223,5
224,17
225,1
226,4
227,2
228,17
229,4
230,1
231,1
232,2
233,4
234,1
235,4
236,5
237,3
238,1
239,1
240,1
241,15
242,3
243,1
244,5
245,20
246,5
247,2
248,5
249,2
250,9
251,11
252,3
253,10
254,5
255,4
256,9
257,5
258,15
259,2
260,1
261,2
262,1
263,9
264,15
265,6
266,11
267,2
268,7
269,3
270,1
271,7
272,1
273,1
274,2
275,1
276,3
277,2
278,2
279,1
280,1
281,1
282,1
283,2
284,2
285,3
286,1
287,4
288,2
289,3
290,1
291,2
292,1
293,5
294,2
295,2
296,5
297,2
298,1
299,3
300,1
301,1
302,5
303,1
304,1
305,1
306,2
307,2
308,3
309,1
310,5
311,6
312,5
313,1
314,18
315,3
316,2
317,1
318,1
319,2
320,2
321,2
322,1
323,1
324,2
325,1
326,2
327,1
328,1
329,1
330,1
331,1
332,4
333,1
334,2
335,1
336,1
337,1
338,1
339,1
340,8
341,1
342,1
343,1
344,1
