,f
0,1909
1,1586
2,1930
3,227
4,5600
5,2892
6,1447
7,3258
8,535
9,5694
10,67
11,33
12,2501
13,1026
14,979
15,2547
16,110
17,3472
18,630
19,473
20,327
21,625
22,3420
23,503
24,4039
25,878
26,1116
27,150
28,1854
29,214
30,362
31,375
32,19
33,948
34,341
35,452
36,241
37,1195
38,244
39,26
40,3740
41,113
42,7
43,2564
44,739
45,231
46,337
47,196
48,147
49,53
50,542
51,140
52,87
53,412
54,211
55,148
56,1243
57,171
58,107
59,97
60,93
61,373
62,69
63,27
64,123
65,159
66,114
67,245
68,88
69,1297
70,22
71,4
72,42
73,372
74,31
75,139
76,44
77,201
78,8
79,658
80,164
81,117
82,444
83,167
84,71
85,77
86,553
87,17
88,55
89,76
90,27
91,90
92,126
93,32
94,56
95,1320
96,82
97,6
98,334
99,117
100,10
101,4
102,3
103,2
104,296
105,132
106,49
107,72
108,71
109,136
110,858
111,4
112,84
113,10
114,122
115,64
116,460
117,121
118,1
119,487
120,336
121,109
122,55
123,163
124,2
125,3
126,142
127,15
128,25
129,97
130,48
131,31
132,76
133,162
134,112
135,92
136,95
137,16
138,4
139,9
140,10
141,41
142,10
143,46
144,13
145,63
146,30
147,33
148,98
149,216
150,45
151,30
152,13
153,2
154,10
155,11
156,12
157,6
158,61
159,21
160,5
161,153
162,246
163,43
164,113
165,12
166,37
167,14
168,21
169,29
170,18
171,58
172,96
173,44
174,1
175,38
176,4
177,5
178,26
179,5
180,9
181,5
182,7
183,36
184,36
185,44
186,4
187,13
188,50
189,1
190,43
191,30
192,7
193,50
194,18
195,1
196,11
197,2
198,7
199,1
200,27
201,1
202,27
203,13
204,2
205,5
206,18
207,7
208,5
209,18
210,9
211,17
212,10
213,5
214,14
215,2
216,1
217,10
218,14
219,27
220,22
221,1
222,29
223,3
224,1
225,2
226,2
227,17
228,8
229,4
230,21
231,5
232,4
233,1
234,2
235,10
236,3
237,15
238,1
239,1
240,15
241,3
242,7
243,1
244,3
245,2
246,4
247,2
248,6
249,3
250,9
251,15
252,11
253,6
254,5
255,11
256,5
257,28
258,31
259,1
260,2
261,1
262,8
263,19
264,2
265,17
266,2
267,5
268,11
269,1
270,22
271,2
272,1
273,3
274,1
275,9
276,1
277,1
278,8
279,4
280,2
281,1
282,7
283,1
284,2
285,1
286,1
287,5
288,2
289,3
290,11
291,4
292,1
293,1
294,2
295,2
296,11
297,1
298,11
299,3
300,3
301,8
302,3
303,1
304,4
305,6
306,2
307,1
308,1
309,3
310,1
311,2
312,6
313,1
314,1
315,1
316,2
317,2
318,3
319,1
320,4
321,5
322,3
323,4
324,4
325,1
326,2
327,1
328,1
329,2
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,1
338,1
339,2
340,1
341,6
342,1
343,1
344,1
345,1
346,1
347,1
348,2
349,11
350,1
351,2
352,1
