,f
0,1034
1,883
2,1093
3,3412
4,1609
5,989
6,38
7,2020
8,168
9,713
10,178
11,404
12,399
13,12
14,496
15,1958
16,220
17,1887
18,2368
19,570
20,3357
21,711
22,205
23,234
24,1516
25,12
26,553
27,208
28,138
29,151
30,21
31,71
32,2182
33,5
34,481
35,314
36,454
37,1530
38,646
39,1142
40,184
41,1505
42,85
43,42
44,326
45,27
46,274
47,93
48,266
49,62
50,57
51,73
52,228
53,16
54,74
55,79
56,111
57,39
58,139
59,33
60,14
61,3
62,797
63,19
64,82
65,133
66,26
67,5
68,74
69,146
70,91
71,34
72,330
73,22
74,89
75,43
76,722
77,58
78,78
79,106
80,26
81,34
82,14
83,257
84,6
85,48
86,192
87,81
88,56
89,342
90,6
91,2
92,68
93,818
94,32
95,41
96,38
97,70
98,274
99,65
100,4
101,50
102,326
103,98
104,141
105,40
106,70
107,1
108,187
109,28
110,288
111,64
112,8
113,50
114,26
115,96
116,100
117,56
118,72
119,11
120,96
121,3
122,1
123,3
124,95
125,49
126,48
127,157
128,26
129,12
130,40
131,1
132,4
133,5
134,9
135,6
136,187
137,40
138,20
139,87
140,161
141,29
142,55
143,10
144,28
145,1
146,20
147,8
148,61
149,71
150,30
151,20
152,43
153,117
154,18
155,3
156,3
157,1
158,3
159,25
160,29
161,5
162,27
163,32
164,3
165,10
166,29
167,9
168,10
169,6
170,1
171,9
172,2
173,15
174,3
175,19
176,27
177,9
178,9
179,3
180,42
181,7
182,16
183,4
184,6
185,7
186,2
187,9
188,15
189,3
190,7
191,31
192,13
193,13
194,2
195,1
196,1
197,2
198,4
199,27
200,3
201,6
202,4
203,7
204,48
205,17
206,33
207,9
208,8
209,17
210,30
211,7
212,2
213,1
214,2
215,1
216,3
217,8
218,5
219,1
220,8
221,4
222,5
223,7
224,18
225,13
226,19
227,1
228,1
229,1
230,12
231,9
232,1
233,12
234,8
235,4
236,20
237,14
238,1
239,2
240,1
241,1
242,1
243,6
244,2
245,2
246,1
247,4
248,2
249,5
250,1
251,4
252,3
253,2
254,3
255,4
256,3
257,5
258,1
259,1
260,1
261,3
262,3
263,6
264,2
265,3
266,4
267,1
268,2
269,6
270,2
271,7
272,2
273,5
274,5
275,1
276,4
277,1
278,2
279,1
280,1
281,2
282,2
283,3
284,4
285,4
286,1
287,5
288,1
289,2
290,2
291,1
292,1
293,1
294,2
295,1
296,2
297,1
298,1
299,4
300,1
301,1
302,1
303,1
304,9
305,1
306,2
