,f
0,3
1,7151
2,2444
3,862
4,1533
5,21
6,1
7,288
8,5055
9,4409
10,5126
11,692
12,5796
13,829
14,9137
15,9730
16,2133
17,13074
18,1132
19,3290
20,6966
21,1034
22,915
23,204
24,13092
25,177
26,2325
27,954
28,100
29,7851
30,1299
31,1616
32,2599
33,980
34,8339
35,6200
36,2431
37,576
38,512
39,4168
40,224
41,59
42,22
43,1525
44,1556
45,935
46,25
47,687
48,1531
49,1273
50,1960
51,2632
52,2657
53,434
54,77
55,652
56,847
57,430
58,865
59,1494
60,2359
61,1131
62,72
63,418
64,1001
65,404
66,581
67,48
68,139
69,201
70,259
71,88
72,13
73,6137
74,45
75,230
76,744
77,434
78,387
79,340
80,619
81,89
82,326
83,3128
84,66
85,243
86,133
87,95
88,296
89,163
90,375
91,229
92,239
93,218
94,328
95,115
96,45
97,271
98,278
99,425
100,13
101,298
102,116
103,6
104,591
105,279
106,2949
107,459
108,65
109,6
110,9
111,313
112,88
113,558
114,13
115,11
116,36
117,238
118,126
119,509
120,1
121,173
122,187
123,44
124,117
125,3
126,3
127,41
128,581
129,83
130,85
131,125
132,59
133,225
134,11
135,22
136,4
137,13
138,12
139,7
140,245
141,8
142,54
143,288
144,117
145,181
146,290
147,182
148,18
149,221
150,1289
151,205
152,7
153,6
154,225
155,106
156,24
157,13
158,24
159,255
160,89
161,295
162,205
163,32
164,91
165,34
166,29
167,16
168,49
169,33
170,60
171,247
172,167
173,26
174,11
175,20
176,11
177,22
178,145
179,40
180,28
181,52
182,138
183,31
184,1
185,97
186,100
187,253
188,511
189,35
190,93
191,41
192,9
193,14
194,17
195,19
196,8
197,154
198,45
199,30
200,360
201,134
202,81
203,38
204,27
205,41
206,8
207,7
208,1
209,22
210,17
211,2
212,73
213,13
214,12
215,59
216,16
217,7
218,14
219,9
220,65
221,1
222,4
223,97
224,7
225,64
226,36
227,130
228,51
229,3
230,164
231,8
232,2
233,4
234,18
235,38
236,43
237,29
238,26
239,10
240,8
241,17
242,8
243,8
244,20
245,3
246,35
247,12
248,3
249,6
250,3
251,9
252,7
253,1
254,3
255,1
256,3
257,7
258,18
259,3
260,47
261,23
262,15
263,30
264,21
265,40
266,11
267,11
268,2
269,14
270,2
271,2
272,1
273,77
274,4
275,87
276,25
277,1
278,22
279,1
280,1
281,2
282,2
283,2
284,5
285,10
286,38
287,6
288,7
289,1
290,2
291,7
292,16
293,11
294,3
295,1
296,1
297,5
298,5
299,2
300,3
301,3
302,3
303,1
304,1
305,24
306,4
307,4
308,4
309,2
310,1
311,8
312,19
313,13
314,1
315,3
316,3
317,27
318,11
319,4
320,7
321,47
322,1
323,7
324,23
325,6
326,11
327,55
328,2
329,3
330,1
331,3
332,1
333,3
334,42
335,4
336,2
337,5
338,30
339,1
340,2
341,1
342,1
343,24
344,10
345,2
346,3
347,2
348,5
349,1
350,5
351,1
352,1
353,1
354,2
355,1
356,1
357,4
358,1
359,8
360,1
361,3
362,2
363,6
364,5
365,2
366,15
367,3
368,3
369,2
370,2
371,2
372,6
373,2
374,4
375,3
376,4
377,1
378,8
379,8
380,4
381,1
382,3
383,1
384,1
385,1
386,3
387,1
388,3
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,3
398,1
399,2
400,1
401,1
402,1
403,3
404,1
405,16
406,1
407,1
408,1
409,2
410,1
411,3
412,1
413,1
414,1
415,1
